,address,lat,long
105,부산시 영도구 태종로 85,35.0922416,129.0405236
106,부산시 영도구 태종로 133(봉래동 3가),35.0919442,129.043866
107,부산 해운대구 좌2동 1339,35.1639512,129.1789057
108,해운대로875,35.173443,129.182013
109,해운대로584,35.1614208,129.1556545
110,대구 달서구 월성동(월성2동) 281 달서구보건소,,
111,대구 달서구 달구벌대로 1035,35.8538856,128.4801315
112,대구 달서구 월배로 446,35.833148,128.5541817
113,대구 달서구 감삼북길 141,35.8506236,128.5414437
114,대구 달서구 구마로 220,35.836849,128.551688
115,대구 달성군 현풍읍 하리 253-2 ,35.6920331,128.4462123
116,대구 남구 대명2동 2003번지(영선길 34),35.8539091,128.591531
117,대구 남구 현충로 170,35.848107,128.58205
118,대구 남구 두류공원로17길 33,35.8436078,128.5679969
119,대구 남구 대명로 153,35.8395584,128.5744911
120,대구 동구 검사동(동촌동) 1005-8 동구보건소,,
121,대구광역시 동구 아양로 99,35.8842611,128.6244071
122,대구광역시 북구 침산3동 521-2 (침산동 북구보건소),35.8918337,128.5888935
123,대구 북구 칠곡중앙대로 440,35.9348896,128.549289
124,대구 서구 평리3동 1230-9(국채보상로257),35.8718309,128.5591748
125,대구 중구 태평로3가(성내3동) 174-1 중구보건소,,
126,대구 수성구 중동 266-5(수성로213) ,35.844684,128.6122139
127,인천 강화군 강화읍 남산리 324-1 강화군보건소,37.737236,126.4850361
128,충렬사로 31,37.7360483,126.4859916
129,인천 계양구 계산동 1079-1 ,37.5371464,126.7377733
130,계양구 장재로 722,,
131,계양구 계양문화로 20,37.5324735,126.7368717
132,인천 남동구 만수동(만수6동) 1008 남동구청 남동구보건소 남동구보건소,,
133,인천광역시 부평구 부평4동 442-1번지,37.498871,126.7241708
134,인천광역시 부평구 부평대로 175,37.5067418,126.7199353
135,인천광역시 부평구 동수로 56,37.4841322,126.7252071
136,인천광역시 부평구 무네미로 446,37.475973,126.7540178
137,인천 연수구 청학동  465-2(함박뫼로 13호),37.4190621,126.6711455
138,"인천광역시 연수구 먼우금로 98 (동춘동, 나사렛국제병원)",37.407958,126.6704928
139,"인천광역시 연수구 원인재로 263 (연수동, 인천적십자병원)",37.4184291,126.6899396
140,인천광역시 미추홀구 매소홀로120,37.4465705,126.6367454
141,인천광역시 백령로 233,37.968009,124.7210341
142,인천 미추홀구 도화동(도화1동) 357-1 미추홀구보건소,,
143,미추홀대로 726,37.462204,126.6807094
144,독배로503,37.461611,126.6430071
145,"인천 동구 만석동 18-3 인천광역시동구보건소, 1동 ",37.4830023,126.6258124
146,인천 동구 샛골로214,37.4817037,126.6458376
147,인천 서구 심곡동(연희동) 246-1 서구보건소 39,,
148,서구 심곡로100번길 23,37.5423431,126.6835685
149,서구 청마로19번길 5,37.5926244,126.6707157
150,서구 원적로 23,37.489059,126.6797833
151,서구 신석로 70,37.509774,126.669941
152,서구 완정로 199,37.6027927,126.6543363
153,인천 중구 전동 2-1,37.4770826,126.6289736
154,인천 중구 답동로 30번길 10,37.4711776,126.6320699
155,인천 중구 운남서로 100-1,37.493633,126.5309955
156,광주광역시 광산구 광산로29번길 15(송정동),35.139524,126.793688
157,광주광역시 광산구 첨단중앙로 170번길 59,35.2211088,126.8453041
158,광산구 왕버들로220,35.1979238,126.8331484
159,광주광역시 남구 봉선로 1,35.1330039,126.902402
160,광주광역시 남구 양림로 37,35.136665,126.911875
161,광주 동구 서석동 31번지 ,35.1458914,126.9230495
162,광주 북구 중흥2동 359번지,35.1733485,126.9121035
163,광주 북구 양일로 309,35.2028543,126.8976135
164,광주 서구 농성동(농성1동) 299 서구보건소,,
165,금화로 59번길 6 (금호동),35.1325949,126.8557303
166,대전 대덕구 석봉로 38번길 55,36.4448434,127.4265344
167,대덕구 계족로 637,36.3683976,127.4285488
168,대덕구 대청로 82번길 147,36.4473943,127.4395922
169,대전광역시 동구 가오동 425,36.3118769,127.4548282
170,대전광역시 동구 동서대로 1672 ,36.3482369,127.4358
171,대전 서구 만년동 340번지,36.36709,127.3809773
172,대전 서구 둔산서로 95,36.3552891,127.3819903
173,대전 서구 관저동로 158,36.306642,127.342613
174,대전 중구 문화2동 785 중구보건소 ,36.3081337,127.3952727
175,대전광역시 중구 대흥로 64 가톨릭대학교대전성모병원,36.323042,127.420163
176,대전광역시 중구 목중로 29 대전선병원,36.3360669,127.4104139
177,대전 유성구 장대동(온천2동) 282-15 유성구보건소 유성구보건소,,
178,북유성대로93,36.3751715,127.3249507
179,울산광역시 남구 삼산동 1538-4번지 울산남구보건소 (삼산동),35.5452246,129.3364449
180,울산 남구 문수로 480번길 10,35.5315232,129.3052035
181,울산 남구 월평로 171번길 13,35.5462649,129.3231103
182,울산 남구 북부순환도로 51,35.5528955,129.2688243
183,울산 동구 화정동 222,35.5054595,129.4171252
184,울산 북구 연암동(효문동) 1082 보건소,,
185,울산광역시 북구 산업로 1007,35.5828446,129.3590343
186,울산 중구 남외동  603-2,35.5693214,129.3504886
187,울산광역시 중구 태화로 239,35.553448,129.3020785
188,울산 울주군 삼남면 교동리 1605-1 울주군보건소,35.5583115,129.113882
189,울주군 삼남면 중평로 53,35.5600045,129.1207349
190,울주군 삼남면 신화리467,35.551286,129.1379478
191,경기 가평군 가평읍 읍내3리 624-1 ,,
192,경기도 가평군 설악면 미사리로 267-117 ,37.6870271,127.5250987
193,경기 고양시 덕양구 주교동 603 덕양구보건소,37.6578142,126.831079
194,경기 과천시 중앙동 과천시청 관문로 69 (중앙동),,
195,경기 광명시 하안1동 230-1 오리로613,37.4564652,126.8787588
196,경기도 광명시 디지털로 36,37.4736659,126.8713502
197,경기 광주시 경안동 115,37.4164556,127.2503368
198,광주대로 45,37.4109444,127.2602408
199,경기 구리시 인창동 674-3,37.6048439,127.1451316
200,경기도 구리시 경춘로 153,37.6012985,127.1324273
201,경기 군포시 부곡동 770-1 (군포로221),37.333007,126.9256583
202,경기도 군포시 산본로 321,37.3594127,126.9336147
203,경기도 군포시 군포로 591,37.358672,126.9473164
204,경기도 용인시 기흥구 신갈동 60-3,37.2725965,127.1067453
205,경기도 용인시 기흥구 용구대로 411,,
206,용인시 기흥구 동백죽전대로363,37.2707922,127.1482641
207,경기 김포시 사우동 김포보건소 ,,
208,경기도 김포시 감암로 11,37.6323325,126.7107331
209,경기도 김포시 김포한강3로 283,37.6409296,126.6602289
210,김포시 김포대로 681 ,37.6112181,126.7347225
211,경기 남양주시 다산동(다산2동) 3159-7 남양주시청제2청사 1~2층,,
212,경기 남양주시 화도읍 비룡로59,37.6579185,127.3006163
213,경기 동두천시 생연2동 714-9 동두천시보건소 ,37.8966203,127.0519111
214,경기 안양시 만안구 안양동(안양6동) 532-1,,
215,경기도 안양시 만안구 삼덕로 9,37.3935234,126.924394
216,경기 성남시 분당구 야탑동(야탑1동) 349 분당보건소,,
